,date,username,teks,sentiment
26,2021-08-08 03:41:36,amitdanilive,@prhntpnd @chachac75722907 @MotaSaajan @shivam423 @SandipAditya007 @AhmedArundhati @Sanjay_Dixit Pandeyji whatever… https://t.co/3AoSqnMRGz,netral
27,2021-08-08 03:41:34,GaryinCHSv2,@Jacksonbells1 @zachcrates @lultoto @disclosetv Zach said originally that the vaccine offered antibody protection t… https://t.co/vKfPIarc6A,positive
28,2021-08-08 03:41:32,MeekooMiku,"@StephenKing ""Netiquette"" 'sarcasm' should be in 'italics'.",netral
29,2021-08-08 03:41:19,smita_kishore,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :)",negative
30,2021-08-08 03:41:14,IndoreWaleBhiya,Getting the sarcasm is not everyone cup of tea… responses and QT clearly proves it https://t.co/OmLss72i3H,positive
31,2021-08-08 03:40:59,Sanatan_Rk,@AhmedArundhati You forgot to add SARCASM word at the end you hateful women.........!!!!!!!!,netral
32,2021-08-08 03:40:54,ruuuuup_cloud,@simpy_sarcasm HE HAS CLOUT GOOGLES TOO 😭😭,netral
33,2021-08-08 03:40:46,urmisgr8,@MonishaMitra_ @KanchanGupta @S97Nishu @Malala @GretaThunberg @miakhalifa @sonamakapoor @ReallySwara @deespeak… https://t.co/IuFto9IQO1,netral
34,2021-08-08 03:40:40,TiffanyAnnBoyer,I put on the bunny ears and the guy goes your dry sense of humor and sarcasm gas earned you extra candy my friend w… https://t.co/uonQNp38Xo,negative
35,2021-08-08 03:40:32,ruuuuup_cloud,@simpy_sarcasm me telling you to search reaction pics so you get in the hellhole of the ones i got like https://t.co/qLE3Sz87qh,netral
36,2021-08-08 03:40:31,Lordchewbarka,@SouleFacts @HMOIndia @GoI_MeitY @TwitterIndia It's supposed to be sarcasm,netral
37,2021-08-08 03:40:24,Bodysoda0,@ArunKrishnan_ Sarcasm at its best 🔥😂,positive
38,2021-08-08 03:40:24,satyablr2013,#Sarcasm at its best! https://t.co/Dd3YqCveeG,positive
39,2021-08-08 03:40:20,Sudhanshu2992,"@AhmedArundhati Please mention sarcasm also somewhere, public serious ho jaati hai😭😭😭😂😂😂😂",negative
40,2021-08-08 03:40:12,AceSteveC,@ReggieCarey @NBCNews Sorry mate. You seem to be seeing sarcasm where there is none.,negative
41,2021-08-08 03:40:08,PankajSinghBo14,@AhmedArundhati Sarcasm at the best.,positive
42,2021-08-08 03:40:01,Krish_BJP,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :)",negative
43,2021-08-08 03:39:50,RishiGaur73,@AhmedArundhati I thought that it's another Twitter handle from sarcasm master @theskindoctor13 🤔,netral
44,2021-08-08 03:39:48,PankajSinghBo14,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :)",negative
45,2021-08-08 03:39:47,ficklereader,"RT @modaozushibot: Jin Guangyao sighed, “Sect Leader Jiang, look— it’s just so difficult being your shixiong, isn’t it?” 
Jiang Cheng retur…",negative
46,2021-08-08 03:39:34,PurplePelican19,@rose_k01 It's sarcasm from a parody !! 🤭,netral
47,2021-08-08 03:39:34,ShyamSu94534181,@rashmi_gulati @Pahadi_Sarcasm @swati_gs Good effort to create fear in my mind by invoking personal insecurities ev… https://t.co/0AaG9rZ7nS,positive
48,2021-08-08 03:39:27,nareshgtr,"RT @ajitdatta: Many did not get the sarcasm of this thread, because they actually trust woke degenerates to be perfectly capable of this. H…",positive
49,2021-08-08 03:39:13,AlwynElderberry,@Adrieliam Sorry. I think my sarcasm font must have failed me again. Was it not working in the original tweet again?,negative
50,2021-08-08 03:39:02,djKillerneo,@PhoenixPRIYA1 @AhmedArundhati Boss. Sarcasm account hain. Read their prev tweets xD,netral
51,2021-08-08 03:38:38,disciple96,"RT @NettieMarieJ: More good news! (sarcasm) 

“Yet all too many of America’s political, media and academic elites seem to be unworried that…",positive
52,2021-08-08 03:38:31,Tumbaaad2,"RT @ajitdatta: Many did not get the sarcasm of this thread, because they actually trust woke degenerates to be perfectly capable of this. H…",positive
53,2021-08-08 03:38:31,gutulu06,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :)",negative
54,2021-08-08 03:38:31,grilledicecream,RT @BudrykZack: One of the funniest kinds of people on here is people who are so embarrassed that they didn't recognize sarcasm or a joke t…,netral
55,2021-08-08 03:38:29,Im_Washim_,"RT @TheOceanVibes: We understand sarcasm..,
Again we also understand the cheap stunts to seek attention.",positive
56,2021-08-08 03:38:24,adamaadham,RT @paperclippenny: Is this supposed to be sarcasm?! https://t.co/uqav6HHpYH,netral
57,2021-08-08 03:38:18,cosmicmatter1,@Mohansinha It's sarcasm,netral
58,2021-08-08 03:38:17,dalviaashish,"RT @ajitdatta: Many did not get the sarcasm of this thread, because they actually trust woke degenerates to be perfectly capable of this. H…",positive
59,2021-08-08 03:38:14,simpy_sarcasm,@ruuuuup_cloud How is this fair i get this shit https://t.co/avYsybEnqv,positive
60,2021-08-08 03:38:14,BharatTrue,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :)",negative
61,2021-08-08 03:38:13,Libtrdslyar1,"RT @ajitdatta: Many did not get the sarcasm of this thread, because they actually trust woke degenerates to be perfectly capable of this. H…",positive
62,2021-08-08 03:38:04,sk44476342,@Goalkickingguru @rubberdubdub1 @RDO11 Sarcasm from a “ Straight Shooter “? How ironic.,positive
63,2021-08-08 03:38:03,rudhruletap,"RT @indumathi37: And the Gold for Sarcasm Olympics…

Amazing.",positive
64,2021-08-08 03:37:59,PurplePelican19,"@ranitaroy24 Its sarcasm from a parody ! 🤭
Real enough to decieve right?",positive
65,2021-08-08 03:37:45,Pagan_Activist_,"@markghost45 @calsandy Those two particular demographics have a lot in common. 
Almost as though they are related. 
*sarcasm*",negative
66,2021-08-08 03:37:39,koidikkatbhai,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :)",negative
67,2021-08-08 03:37:35,MoluShar,@Mohansinha Its sarcasm,netral
68,2021-08-08 03:37:34,DonDow1,@sourpatchlyds I betting this was said with a great deal of sarcasm behind it and HuffPost took it seriously.,positive
69,2021-08-08 03:37:31,mailboxxxxi,@kissingnagito I can’t tell if this is sarcasm 😢,netral
70,2021-08-08 03:37:28,91golden_tm,@dwtlivs highkey i’m pretty sure this is sarcasm,positive
71,2021-08-08 03:37:27,schraderbrau88,RT @BudrykZack: One of the funniest kinds of people on here is people who are so embarrassed that they didn't recognize sarcasm or a joke t…,netral
72,2021-08-08 03:37:21,Kenstrube22,"@investmattallen Politicians,  corrupt? Noooo way.  They only live to serve the people. Never themselves!  /end sarcasm",negative
73,2021-08-08 03:37:17,Anjoria,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :) https://t.co/CZXHvP3wue",negative
74,2021-08-08 03:37:07,jencut26,"Forget sugar and spice, I'm full of sarcasm and profanity 😝",positive
75,2021-08-08 03:37:02,VishuAdv,"RT @sanjaybose9: @YangerINC The telegraph is not in Pegasus list.
Reason :- 

The sarcasm and english- chaddi gang can't understand!!

#edu…",netral
76,2021-08-08 03:36:51,simpy_sarcasm,@ruuuuup_cloud I FUCKING NEW IT,positive
77,2021-08-08 03:36:46,NettieMarieJ,"More good news! (sarcasm) 

“Yet all too many of America’s political, media and academic elites seem to be unworrie… https://t.co/tt2uB8zIDU",positive
78,2021-08-08 03:36:39,THATMOMx4,@tweetysoph86 @VeeCeeMurphy76 I also think these “titles” are bestowed with heavy sarcasm.,negative
79,2021-08-08 03:36:34,khajans82781678,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :) https://t.co/CZXHvP3wue",negative
80,2021-08-08 03:36:33,Gamenasium2,@pokeAK101 That hair...sarcasm joke. https://t.co/EzuONdalRf,netral
81,2021-08-08 03:36:30,VivekSGaharwar,Deep weekend sarcasm 😊 https://t.co/4C2z19aibB,netral
82,2021-08-08 03:36:28,ruuuuup_cloud,@simpy_sarcasm pinterest https://t.co/wHqx610TFg,netral
83,2021-08-08 03:36:23,MichaelSpiro,"@R_Chirgwin I think the emoji might denote a wee bit of sarcasm, my friend!! Hope you're keeping well ...",netral
84,2021-08-08 03:36:20,djKillerneo,@BalakAgyani @Boredparticle @AhmedArundhati Actually it is sarcasm much like titania mcgrath,positive
85,2021-08-08 03:36:16,shitalkumar888,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :)",negative
86,2021-08-08 03:36:15,HazRobert,RT @Mountaingoat55: @mjrowland68 That was surely sarcasm.,positive
87,2021-08-08 03:36:15,rnlathi,"RT @ajitdatta: Many did not get the sarcasm of this thread, because they actually trust woke degenerates to be perfectly capable of this. H…",positive
88,2021-08-08 03:36:11,teawithnikhil,"RT @ajitdatta: Many did not get the sarcasm of this thread, because they actually trust woke degenerates to be perfectly capable of this. H…",positive
89,2021-08-08 03:35:43,djKillerneo,@shashiprk @shivam423 @SandipAditya007 @AhmedArundhati @Sanjay_Dixit Her bio is sarcasm too. Boss?,netral
90,2021-08-08 03:35:40,ahrahraa,"RT @_aizspace: Did JunWan meant this as sarcasm, like he can't feel IkJun has a wife 

https://t.co/TjSGeUmg6H",netral
91,2021-08-08 03:35:35,m_Vivekkk,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :)",negative
92,2021-08-08 03:35:25,raj90325282,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :)",negative
93,2021-08-08 03:35:24,pralaybak,"@AhmedArundhati People don't get sarcasm, it seems 😂😂😂",netral
94,2021-08-08 03:35:19,risingupforgood,@SouleFacts @HMOIndia @GoI_MeitY @TwitterIndia Now that everyone has told you that it is sarcasm...pls delete this… https://t.co/fuZmjyyKd6,netral
95,2021-08-08 03:35:13,ajitdatta,"Many did not get the sarcasm of this thread, because they actually trust woke degenerates to be perfectly capable o… https://t.co/cwen8eu3Um",positive
96,2021-08-08 03:35:12,VoltronResists,RT @CosmicFilaments: The sarcasm in this church’s name is top level,positive
97,2021-08-08 03:35:07,ParagNasikkar,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :)",negative
98,2021-08-08 03:35:00,ElizabethBRue,"@GeorgeTakei These ""anchors"" (word used loosely), have been giving ""medical advice"" (phrase used with 100 percent s… https://t.co/5NSOw38tq8",negative
99,2021-08-08 03:35:00,sperrydaniel94,@thiiisjustin @LWOSMattPollard I assume this is a joke/sarcasm,netral
